Номер КЛАССА,Наименование КЛАССА,Номер БЛОКА,Наименование БЛОКА,КОД,"Наименование КОДА 3-х, 4-х и 5-тизначных рубрик "
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A00,Холера
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A00.0,"Холера, вызванная вибрионом 01, биовар cholerae"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A00.1,"Холера, вызванная вибрионом 01, биовар eltor"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A00.9,Холера неуточненная
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A01,Тиф и паратиф
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A01.0,Брюшной тиф
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A01.1,Паратиф А
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A01.2,Паратиф В
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A01.3,Паратиф С
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A01.4,Паратиф неуточненный
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A02,Другие сальмонелезные инфекции
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A02.0,Сальмонеллезный энтерит
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A02.1,Сальмонеллезная септицемия
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A02.2,Локализованная сальмонеллезная инфекция
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A02.8,Другая уточненная сальмонеллезная инфекция
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A02.9,Сальмонеллезная инфекция неуточненная
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A03,Шигелез
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A03.0,"Шигеллез, вызванный Shigella dysenteriae"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A03.1,"Шигеллез, вызванный Shigella flexneri"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A03.2,"Шигеллез, вызванный Shigella boydii"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A03.3,"Шигеллез, вызванный Shigella sonnei"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A03.8,Другой шигеллез
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A03.9,Шигеллез неуточненный
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A04,Другие бактериальные кишечные инфекции
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A04.0,"Энтеропатогенная инфекция, вызванная Escherichia coli"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A04.1,"Энтеротоксигенная инфекция, вызванная Escherichia coli"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A04.2,"Энтероинвазивная инфекция, вызванная Escherichia coli"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A04.3,"Энтерогеморрагическая инфекция, вызванная Escherihia coli"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A04.4,"Другие кишечные инфекции, вызванные Escherichia coli"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A04.5,"Энтерит, вызванный Campylobacter"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A04.6,"Энтерит, вызванный Yersinia enterocolitica"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A04.7,"Энтероколит, вызванный Clostridium difficile"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A04.8,Другие уточненные бактериальные кишечные инфекции
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A04.9,Бактериальная кишечная инфекция неуточненная
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A05,Другие бактериальные пищевые отравления
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A05.0,Стафилококковое пищевое отравление
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A05.1,Ботулизм
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A05.2,"Пищевое отравление, вызванное Clostridium perfringens  Clostridium welchii  "
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A05.3,"Пищевое отравление, вызванное Vibrio parahaemolyticus"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A05.4,"Пищевое отравление, вызванное Bacillus cereus"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A05.8,Другие уточненные бактериальные пищевые отравления
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A05.9,Бактериальное пищевое отравление неуточненное
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A06,Амебиаз
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A06.0,Острая амебная дизентерия
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A06.1,Хронический кишечный амебиаз
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A06.2,Амебный недизентерийный колит
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A06.3,Амебома кишечника
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A06.4,Амебный абсцесс печени
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A06.5,Амебный абсцесс легкого  J99.8*  
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A06.6,Амебный абсцесс головного мозга  G07*  
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A06.7,Кожный амебиаз
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A06.8,Амебная инфекция другой локализации
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A06.9,Амебиаз неуточненный
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A07,Другие протозойные кишечные болезни
